,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
166,30172,1,8,2000,2,NL,F,30.0,137.0,Neotoma,albigula,Rodent,Control
167,30174,1,8,2000,2,NL,F,33.0,181.0,Neotoma,albigula,Rodent,Control
168,30175,1,8,2000,2,NL,M,34.0,265.0,Neotoma,albigula,Rodent,Control
169,30307,2,5,2000,2,NL,F,33.0,185.0,Neotoma,albigula,Rodent,Control
170,30308,2,5,2000,2,NL,F,31.0,144.0,Neotoma,albigula,Rodent,Control
171,30309,2,5,2000,2,NL,,,183.0,Neotoma,albigula,Rodent,Control
172,30443,3,4,2000,2,NL,M,33.0,184.0,Neotoma,albigula,Rodent,Control
173,30741,6,3,2000,2,NL,F,33.0,158.0,Neotoma,albigula,Rodent,Control
174,31516,11,25,2000,2,NL,F,29.0,200.0,Neotoma,albigula,Rodent,Control
175,31517,11,25,2000,2,NL,M,32.0,228.0,Neotoma,albigula,Rodent,Control
176,31633,12,22,2000,2,NL,F,31.0,173.0,Neotoma,albigula,Rodent,Control
738,31215,8,25,2000,2,DM,F,36.0,43.0,Dipodomys,merriami,Rodent,Control
739,31386,9,30,2000,2,DM,F,35.0,45.0,Dipodomys,merriami,Rodent,Control
740,31515,11,25,2000,2,DM,F,35.0,43.0,Dipodomys,merriami,Rodent,Control
741,31632,12,22,2000,2,DM,F,34.0,44.0,Dipodomys,merriami,Rodent,Control
932,31520,11,25,2000,2,PE,M,20.0,23.0,Peromyscus,eremicus,Rodent,Control
1199,30170,1,8,2000,2,PP,M,21.0,17.0,Chaetodipus,penicillatus,Rodent,Control
1200,30301,2,5,2000,2,PP,M,22.0,18.0,Chaetodipus,penicillatus,Rodent,Control
1201,30302,2,5,2000,2,PP,F,22.0,17.0,Chaetodipus,penicillatus,Rodent,Control
1202,30304,2,5,2000,2,PP,M,22.0,18.0,Chaetodipus,penicillatus,Rodent,Control
1203,30306,2,5,2000,2,PP,M,22.0,17.0,Chaetodipus,penicillatus,Rodent,Control
1204,30431,3,4,2000,2,PP,M,22.0,21.0,Chaetodipus,penicillatus,Rodent,Control
1205,30432,3,4,2000,2,PP,F,23.0,17.0,Chaetodipus,penicillatus,Rodent,Control
1206,30434,3,4,2000,2,PP,M,22.0,22.0,Chaetodipus,penicillatus,Rodent,Control
1207,30439,3,4,2000,2,PP,M,22.0,19.0,Chaetodipus,penicillatus,Rodent,Control
1208,30608,4,30,2000,2,PP,M,22.0,22.0,Chaetodipus,penicillatus,Rodent,Control
1209,30609,4,30,2000,2,PP,M,21.0,19.0,Chaetodipus,penicillatus,Rodent,Control
1210,30733,6,3,2000,2,PP,M,27.0,10.0,Chaetodipus,penicillatus,Rodent,Control
1211,30740,6,3,2000,2,PP,M,22.0,14.0,Chaetodipus,penicillatus,Rodent,Control
1212,30913,7,1,2000,2,PP,F,21.0,16.0,Chaetodipus,penicillatus,Rodent,Control
